Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Amount,Class
0,0.6565957805982692,-0.7396710255886106,0.8671911257613155,-2.5710308092609595,1.5338451050362951,6.90416462578248,-1.1744655056633326,-0.7108348385012441,1.675202424087777,-0.05547443551762743,3.360588317184059,-5.017067251287069,-0.8514718787533673,2.8864764162682395,-0.006426812178948622,0.4913518941635465,1.1668448048999789,0.8323001683298882,-0.8021351310412529,-1.8918105367082008,3.0825361674773353,-1.4949860976053775,5.925569339570516,3.002411037087858,0.18132367123690882,-0.3353910530156894,-0.9296606675205481,-0.4625434590800768,3.963420301819023,111.57,0
1,-0.7221591615216957,-3.0758595018902786,-1.749162801858082,-0.8890281319261807,-0.7936164996533775,-0.014255433509498256,0.22224482781360289,-0.10084134754457509,-2.058680686205292,1.2572897940519556,2.578699477328747,-0.08285671610802217,0.7894987596500425,0.9375397916813591,1.8218953159260207,-0.8580870493455784,-1.9496595226578304,0.22506275317460112,-0.9263510332561028,-1.0541054369956855,0.09860441240062012,-0.6001564950088275,1.7219619317546755,2.165393549878295,0.31725858127898193,1.1345383310080746,-0.6304618147482368,-4.318152281803746,1.7774125267532135,49.8,0
2,0.3763259576465752,0.9010919149666596,1.6857441919739613,2.1846573494261654,0.4645021652142125,1.404160357431102,-0.8262513469456205,-0.10833388324458919,0.7577341142099038,1.9267846489225295,-2.324548862107665,2.234676380046032,1.2327283420682844,-1.0273900815518575,-1.290167414451457,0.6629937020525997,0.90105881566334,-5.034570003448595,-3.0392246989198135,0.9595080570233295,-1.5053622221418084,-0.5348543227867003,-0.18900084006016843,-1.7960087344814766,-0.083332200624347,0.6064247283911633,2.904775992647497,-5.837163456045123,1.7063491393838075,165.05,0
3,0.13147742249666883,2.678930621315022,-1.2203736530762201,-0.9950356227791248,0.1433862632298211,7.110263241546556,-1.6663144280613622,0.6548132043648224,1.2446945270238519,1.440496769243261,0.2637417006804198,-0.8344102164285004,-0.8611078780710153,3.490536204919009,-0.5709403994926594,-1.2715402502782231,2.207631870754065,-0.5563343649624725,3.0038643463224854,-0.544477091775859,-0.42910063187267056,-1.0143170467307878,2.467108842007563,8.471482711040288,-0.6992632073839163,0.029180660677674677,-1.8832274930689423,3.1706323769590865,3.586161674123708,187.87,0
4,-0.6665562312330459,1.5654478643566074,-1.497858674779467,2.410898763558327,0.7171699746132896,5.219680807403105,-0.8078374703980361,-0.18331684202330392,1.0284790091901104,2.2583988725821618,-1.4299505670683312,2.9483612038244273,-0.5391106607016489,-0.25610947774346104,0.15319314055807765,1.38238274568994,0.23891301699030987,0.09385303864995365,1.9047406306422898,-0.7988988980931305,1.0458114378936596,-1.0937684002255086,2.1804137356817566,2.894207394719586,-0.5643604246840334,0.8741698718964994,-1.6184714239261329,6.156979390597652,1.0701591917914524,159.12,0
5,-0.3454069518325343,2.881325519156646,-0.3773461830799317,-0.7742944273659714,-1.7627069900416041,-1.0479763617126199,3.016060881678279,-0.1658000181030098,2.0523954921212058,1.9709117071013558,-0.2674680155544257,-1.1879812767157811,-0.020884149624899602,-0.7955165175158448,0.678377199644627,-1.2344221720663362,-2.664537808886451,-0.19495967456397156,-0.4899103378947399,1.035276566180256,1.4309763325040086,0.05592066092321825,-0.09521803852099107,1.5131729036540695,-0.1352705407042644,0.5959633088310913,-2.7507003585346053,4.248758289826724,0.8981430950414074,81.26,0
6,-1.1758802046045926,-3.0207017340278983,-0.11357174210163236,-3.2207013188857454,0.04402273274568029,-1.6658853699219154,-0.1954161750703246,0.7926650668400846,0.08891135796489937,-3.5670905554969843,3.430969273264176,-3.846301554181068,-1.0795327037799556,-1.5851466124631848,-2.404518384606314,-0.23033953910050364,-2.947656807330553,1.1716950657977265,-1.8841033138189789,-0.040139005986954676,1.588348838685377,0.3023227474312732,2.9180597943437494,-0.6801381378122131,-0.7430841721862712,0.49863932551669454,-0.40547591761219,-0.9643237413147953,2.746427510087405,90.34,0
7,0.43007764836748535,0.241335732673445,1.227987809585601,-0.40893321857895015,-1.481845501081295,5.492073975349715,-2.6003095975405213,0.06666975541378523,-0.37571790905371677,0.8580942678678195,1.253083149814377,-1.7346308852418093,-1.362029682001001,-0.6195622278033683,0.9530880549924937,-1.2178033053225852,3.0260705639061283,-2.710621749227391,-0.48295422035890334,0.07456406206049655,-1.2238401136271109,-2.6244111660438847,0.6614725610332919,-1.4321817798276484,0.15751749733279974,-0.653690686996257,0.6852222977561192,-5.41375161935689,1.100228836607891,37.05,0
8,-0.22228667368990282,-2.325313725313337,0.2676836945338513,-0.5932640404363334,-0.08805012531494116,1.3342791928066173,2.5184094502781655,0.9047639017290136,0.6933867037990183,0.7608800746583115,1.885967288572349,-2.125365155893441,1.3669006900172929,0.3716340621784998,-1.0786692760638916,-0.2748334065482569,1.2997050684486537,-2.122712092380735,1.37838307970497,1.0675661206579563,1.4945019236371744,0.9394694872838987,-1.8586219232635417,-2.7570112850269552,-0.05354565229242677,1.4184850326034728,1.3238932154425052,-6.38863946858671,-1.1169903029566015,72.98,0
9,-0.6076286845249997,-2.626214936931907,-0.2654463782255031,-0.2839501993726252,1.1289692014020853,3.6499866616211922,-1.0699431312183978,-1.5882651434415278,0.41097616501416834,1.716142538510116,3.0616929147564633,-0.49566262321016546,-0.18840581615074903,-0.66408371917711,-0.1307003267325405,-0.7574086559794119,-1.0597606525889702,-0.4069568526470579,0.02276071046958461,-1.1378321507929698,0.6946652962802932,-1.8689114064706538,2.097544268702009,0.963869323541175,-0.09771088986529282,-1.2274587132122954,-1.6137537845706111,-2.4982275438703074,1.4974116553758594,27.37,0
10,0.6560435672029604,0.10956485875936461,-0.27594577609330595,1.2009171173646327,0.2523659241830736,11.68380180818879,1.0531468102740829,-0.08900053660847063,0.12159153957401245,2.037465045581098,1.0366183399777915,0.6009954665594524,0.4590339049067038,1.8586882942828602,-1.5194118908743064,-0.8324014767600587,1.9552616662235587,1.902789948816379,2.2068252895350584,-0.43213811356877607,2.7794216632411084,-0.5578922599036563,7.079582423071884,-1.0290494226152926,-0.4155482714426437,-1.2301921166964744,4.184967613569768,-1.8102133435397993,1.4322715156285968,180.53,0
11,-0.5184973366243467,-0.14417172136726186,-0.8174939412147917,0.7202908760386583,1.207446043962938,6.111519338990882,2.522355379006323,-1.0524419266144223,0.7146539804802873,-0.7301237367691343,3.1296993833187488,-2.9682310447510374,0.8147400258186039,-5.322518358963333,-0.36879586489616106,0.3533064398273697,2.5529303313185356,0.7324405910467077,-0.3666466518895627,-0.33511706779395667,2.8930785395016363,0.1540289307324705,-0.6114171894294517,-9.470370873028182,0.4438612307304131,-0.4930524964703344,-2.460008174244108,1.1425487393445315,2.1467633776800965,168.34,0
12,-1.1824579472453334,-1.132828253441999,0.17676369997220687,-0.6523263572951435,-0.4039010833862068,6.320640045101763,0.25576481667158424,-0.37086202780500893,0.24330822528875026,-0.5979825132202726,2.827365706426868,-4.422240589848674,-0.2799105731704815,-2.9721273029185973,-0.30957627357975087,-0.06074065688710121,0.44058134120064973,-3.4922303007615563,1.2633714798713134,-1.9259679459071828,4.1719827886338,0.16931372385385732,0.66111683236589,-1.8558170218247156,0.7834311866438803,1.4332821727201956,-2.370083392481005,2.089998859660934,2.507509640048413,82.92,0
13,-0.42464332891591067,1.8289120266302903,-0.7415926390940565,4.363499115367503,-1.7236853785590116,7.940971400793133,-2.953979209108327,0.81788196670747,0.5866248826168217,1.2151653518033232,0.9788000025141476,0.9434060337945264,-0.3741045275639198,-0.6746423692299565,0.4454791746875265,-0.04981833090600245,5.666070920853396,-1.0112095650140462,-4.3599057563607255,0.18702010769393745,-2.577122955196058,0.5741642083638515,-1.6491288904799328,-7.652163648956628,0.8550016347102224,0.41222069356544727,1.5959634616214085,-4.698119912479243,2.779032601102419,210.27,0
14,1.161211402411614,-1.5825234000025405,0.46326956914752015,-1.0522979694847745,-1.542192894187223,-0.8565192784253077,-2.9826420293560063,0.0467201202649723,-0.6854728526884201,0.3697073555296462,0.8816396467124997,-2.4635340658225164,0.2836784496988527,0.1973568686495183,-1.0056950873181933,0.037647372169360274,1.0466766725115033,-5.529688131659765,-2.3848539006718106,0.42679019325864453,-1.5649929393349757,-0.6995692785784219,-1.9987055552104156,-0.16269076516086037,0.8855273723059548,1.608077135453547,0.8700926264786198,-8.289440117361954,0.025228791151370555,131.1,0
